yorum,konu,sentiment,sentiment_score,duygu
arkadaşlar ben bu uygulamayı heyecanla yükledim hayal kırıklı uğradım direk sildim sakın yüklemeyin şarkı aramıyorum şarkı çıkıyo tıklıyorum başka şarkı çalıyor Bi de şarkıyı beğeniyorum çalma listesine ekliyorum çalma listesini dinleyecem gidiyom oynata basıyor alakasız şeyler çalıyo rezalet Bi uygulama 1 yıldız bile hak etmiyor öne çıksın diye 5 verdim ayrıca istediğim çoğu şarkı,performans/arayüz/fiyat/içerik,negatif,10,"hayal kırıklığı, öfke, şaşkınlık"
şarkıyı kesip reklam giriyo şaka gibi,reklam,negatif,70,"hayal kırıklığı, öfke"
reklamda ücretsiz olarak İnternetsiz dinleyebileceğimizi söylüyorlardı. yalanmış kandırıyorlar. şunlara inanmayın para istiyorlar internetsiz dinlemek için Şunu bilin yalanla hiç bir şey kazanamazsınız !!!!! 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬👺👺👺👺👺👺👺👺👺👺👺👺👺👺👺👺👺👺👺👺 🌩⚡️,reklam,negatif,10,"öfke, hayal kırıklığı"
uygulama gayet iyi ses kalitesi çok güzel,performans,pozitif,90,mutluluk
buna sinirleniyorum çünkü hep karşıma çıkıyor.oynadığım oyunun içine ettiniz,oyun,negatif,70,öfke
muhtesem,performans,pozitif,90,mutluluk
güzel ama reklamlar azalsa vazgeçilmez olur bence. Spotify a bin basar!,reklam,pozitif,80,mutluluk
harika,performans,pozitif,90,mutluluk
mükemmel ve güzel ben çooooooook beğendim sizde indirin,performans/arayüz/fiyat/içerik,pozitif,90,mutluluk
Çok fazla reklam giriyor ve şarkı dinleme sınırı var çok saçma düzeltilsin,reklam,negatif,60,hayal kırıklığı
muhteşem 👍👏👏,performans,pozitif,90,mutluluk
süper,performans,pozitif,90,mutluluk
müzik asla kesilmiyor İnternet yavaşlama bile,performans,pozitif,80,mutluluk
keyifli,genel,pozitif,80,mutluluk
çok iyi,performans,pozitif,90,mutluluk
"uygulamada nerdeyse hiç şarkı yok olmayan şarkılar Bad Apple! - Turkish Cover, Play My Way, AXOLOTL,Gravity Falls | 1 HOURS EPICK,The Amazing Digital Circus Song gibi çoğu şarkı yok yakın bir zamanda lütfen ekle yin.",içerik,negatif,20,hayal kırıklığı
Uygulama süper memnunum sürekli dinliyorum,performans,pozitif,90,mutluluk
çok güzel olmuş,performans,pozitif,90,mutluluk
Severek kullanıyordum ama son zamanlarda Wi-Fi'den bağlandığımda çok bağlantı problemi yaşıyorum. İnternetimden diye düşündüm ama diğer hiçbir uygulamada (Spotify-Youtube vs.) sorun yaşamadım.,performans,negatif,30,hayal kırıklığı
çik güzel,performans,pozitif,80,mutluluk
sesli kitap özelliği geliştirilmeli. kafasına göre kapanıyor.,performans,negatif,20,hayal kırıklığı
bence harika bir uygulama binde bir bulamadığım şarkı çıkıyor...ayrıca diğer abonelik özellikleri podcast ve sesli kitap başka boyuta taşıdı...,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Kod hatası diyor kodu bir kuruluştan ücret i karşılığı aldım kopya yapıştırma yapıyorum kod nasıl hatalı olabilir,performans,negatif,20,hayal kırıklığı
gayet iyi,performans,pozitif,80,mutluluk
cok iyi,performans,pozitif,90,mutluluk
memnunum tavsiye ediyorum,performans,pozitif,80,mutluluk
istediğim parçayı dinliyorum. dinlediğim tarz otomatik akışa düştügünde hoşuma gidiyir..unuttuğum parçalar sürpriz bir şekilde akışa düşüyor harika..,müzik/akış,pozitif,85,"mutluluk, şaşkınlık"
tenkü,arayüz,nötr,50,nötr
çok fazla reklam veriyor böyle giderse uygulamayı kaldıracağım,reklam,negatif,20,hayal kırıklığı
bende üzülerek 1 puan vermek istiyorum nedeni kendi dinleme listeni oluşturuyorsun ve listen den çalmıyor başka şarkı çalıyor benim tavsiyem indirmeyin ama o sizin kararınız,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,10,üzüntü
Uygulama başta iyiydi fakat kullandıktan sonra istediğim şarkıyı reklam dinlemeden açamadım artık premiumu olmayanlara bu eziyeti yapmayın!!!,performans/arayüz/fiyat/içerik/reklam,negatif,70,"hayal kırıklığı, öfke"
harikaaaaaaaa,performans,pozitif,90,mutluluk
Super,performans,pozitif,90,mutluluk
mükemmel,performans,pozitif,100,mutluluk
10 Puan. . .,performans,pozitif,80,mutluluk
alles good,genel,pozitif,80,mutluluk
güzel !,genel,pozitif,80,mutluluk
arda bir müziği ortalardayken başa sarıyor ama gayet iyi çalışıyor,performans,pozitif,80,mutluluk
bence gerçekten çok güzel bir uygulama öğrenci olduğum için her ay 20 liraya gerçekten çok iyi ancak şarkıların sözleri ya yanlış ya da hiç yok sadece birkaç şarkıda var ve bence bu kötü bir durum ben özellikle premium u şarkı sözleri için alıyorum ancak bunu karşılamıyor,içerik/fiyat,negatif,30,hayal kırıklığı
Spotify sildik çok reklam var diye bunu indirdik müzik dinleyemiyoruz tavsiye etmiyorum indirmeyin arkadaşlar,reklam,negatif,10,"hayal kırıklığı, öfke"
uygulama iyi kendi ülkemin uygulaması olduğu içinde ayrıca gurur duyuyorum ama bazı sanatçıların müzikleri yok onur Can özcan gibi her vidosu 35 40 milyon izlenen bir kişinin olmaması bir eksiklik ayrıca uygulamanın bize özel sarkilar şunun bize özel çalma listeleri hazırlayan bir algoritması olması daha iyi olurdu bu konuda yapay zekadan yararlanabilirler beğenilen şarkılara daha kolay erişim olmalı altta sadece beğenilen şarkılara giden bir buton olaabilir onun dışında iyi Bir uygulama.,içerik/arayüz/fiyat,pozitif,80,mutluluk
karısık ve sınırlayıcı nir uygulama keske bazı kolay ise yarayacak seylede olsa 5 de 5 olur ama gene iyi sevdim,arayüz,pozitif,70,mutluluk
çokkkk iyii,performans,pozitif,90,mutluluk
çok iyidi bayıldım,performans,pozitif,90,mutluluk
Oldukça severek kullandığım bir uygulama. Muadillerine kıyasla büyük bir eksikliği olduğunu şu ana kadar görmedim ama bazı sanatçılar ve grupların içeriklerini bulamıyorum. Örneğin Turan müzik grubu ve Dünya Tekin'i sanatçılar kısmında bulamadım. Bazı şarkıların da orijinalleri ve en çok bilinenleri dışında farklı yorumları eklenebilir.,içerik,pozitif,80,mutluluk
"şarkılar arası reklam tabiki , ama şarkının arasında reklam tüm keyfi kaçırıyor.",reklam,negatif,30,üzüntü
👍👍👍,performans,pozitif,90,mutluluk
çok güzel teşekkür ederim,performans,pozitif,90,mutluluk
uygulama güzel ama ilahi arattığımda saçmasapan şarkılar çıkıyor ve çok az ilahi var.mesela murat belet ve resul aydemir in seni buldum ilahisini ekleseniz sevinirim,içerik,negatif,30,hayal kırıklığı
Harika,performans,pozitif,90,mutluluk
uygulamayı kullanıyorum ve gayet güzel ancak 1 yıldız kırmamın sebebi çoğu şarkının sözlerinin olmaması.mesela nirvananın çok bilindik şarkısını dinliyorum ama sözlere bakmak istediğimde sözleri yok veya yarım yamalak yani tam değil.bunu bir an önce yapsanız iyi olur bence.,içerik,negatif,30,hayal kırıklığı
bayıldım,performans,pozitif,90,mutluluk
"Fizy’de yeni çıkan ve popüler şarkıların eksik olması kullanıcı deneyimini olumsuz etkiliyor. Spotify’daki remix versiyonlarının da eklenmesi gerekiyor. Yerli uygulamaları desteklemek istiyoruz; bu yüzden fizy’nin şarkı ekleme çalışmalarını hızlandırmasını ve kullanıcıları teşvik edecek kampanyalar yapmasını bekliyoruz. Ayrıca, üyelik fiyatları Spotify gibi platformlara göre daha uygun olmalı ve özel avantajlar sunulmalı.",performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,60,hayal kırıklığı
İlk izlenim iyi,performans,pozitif,80,mutluluk
turkcellde salla kazanda 1 ay premium çıktı hala SMS gelmesine rağmen premium değil,performans,negatif,20,hayal kırıklığı
güzel,genel,pozitif,80,mutluluk
Daha yeni parçalar premiom için yazık,fiyat,negatif,20,hayal kırıklığı
Bircok şarkı yok bi şarkı beğeniyorum bakıyorum yok o şarkı ünlü sanatçıların dahi olsa her şarkıyı içinde barındırması gerekir,içerik,negatif,30,hayal kırıklığı
yüklemenizi tavsiye ederim şarkıları indirip internetsiz ortamlardada dinleyebilirsiniz video çekerkende dinleyebiliyorsunuz aramadaykende benim açımdan iyi bir uygulama olmuş...,uygulama,pozitif,80,memnuniyet
bayagüzelmükyani❤,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Güzel bir portal. daha interaktif olursa süper olacak.,arayüz,pozitif,80,mutluluk
uygulamayı beyenmedim şarkıları indirmek için pireminum almamız lazım ben bedava sandığım için indirmiştim.,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,30,hayal kırıklığı
çok memnunum.,performans,pozitif,90,mutluluk
Donup Donup Duruyor,performans,nötr,50,şaşkınlık
çok iyi,performans,pozitif,90,mutluluk
kepaze,arayüz,negatif,10,hayal kırıklığı
iyi uyguluma reklamlı güzel aslında TV+ böyle olması lazim,arayüz/reklam,pozitif,80,mutluluk
iyi,genel,pozitif,80,mutluluk
"Merhaba,En çok sevdiğim müzikleri keyifle dinlediğim yer Fizy...Muhteşem...Teşekkür ederim...🌸🍀🎉🥳🙋",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Fizy kodunu aktif ettim ancak app hiç iyi değil şarkının orjinali zor çıkıyor!,performans/arayüz,negatif,20,hayal kırıklığı
çok güzel ve çok beğendim,performans/arayüz,pozitif,90,mutluluk
teşekkürler,genel,pozitif,80,mutluluk
Süper,performans,pozitif,90,mutluluk
"Severek kullanıyordum ancak son birkaç gündür uygulamayı açınca anasayfaya değilde uygulama ayarlarından bildirimler kısmına yönlendiriyor. Bildirimlerim kapalı, uygulamadan bildirim almak istemiyorum. Bu düzeltilirse güzel olacak.",arayüz,negatif,30,hayal kirikligi
denedim çok kötü çünkü asla offline açılmıyor şarkılar error veriyor tavsiye etmem,performans/arayüz,negatif,20,hayal kırıklığı
"düzeltilmesini düşündüğüm şeyler: - şarkı önerileri aşırı uyumsuz; sektör lideri gibi öneri sistemi değişmeli - beğenilen şarkılar çalma listelerine sürpriz önerili karışık çalma eklenirse (doğru önerilerle) çok güzel olur - çalma listelerinde çok fazla rap ve pop karışık mixlenmiş şarkı var, listeleri dinlerken şarkı atlamak yoruyor - 1 yıl önce kullandığıma göre çok daha geriye gitmiş olarak şuan kullanıyorum - bazı bilindik şarkılar bile bulunamıyor, eklenmesi lazım, bildirim izin sorunu v",performans/arayüz,negatif,30,hayal kırıklığı
"Fizy yapımcıları bile herhalde Spotify kullanıyor.Bir uygulama hiç geliştirilmezmi. Sürekli önerilen şarkılar aynı,aradığın şarkılar yok beğeni yada beğenmeme tuşu yok. Düzeltilemeyecek sorunlar değil ama sürekli aynı sorunlarla karşı karşıyayız. Şuan kullanmamızın tek nedeni yerli olması olabilir.",performans/arayüz,negatif,30,hayal kırıklığı
güzel ama indirme ücretli,fiyat,negatif,30,hayal kırıklığı
premium olmadan hiçbir şey yapamadığın bir uygulama bu kadar para göz başka bir uygulama yok sildim,fiyat,negatif,20,hayal kırıklığı
çok güzel olmuş,performans,pozitif,90,mutluluk
🤗,nötr,pozitif,80,mutluluk
müthiş,performans,pozitif,90,mutluluk
hiç beğenmedim,performans,negatif,10,hayal kırıklığı
İnternetsiz deneyimbyaziyor internetsiz bir tık bile dinleyemiyorum . Yazıklar olsun,performans,negatif,10,hayal kırıklığı
Müslüm gürses sensiz geceler parçasının orijinali de eklenmeli,içerik,pozitif,80,mutluluk
merhaba uygulamanizi çok beğeniyorum severek kullanıyorum rica etsem belirttiğim sarkilarin video kliplerini fizy e ekleyebilirmisiniz . ismail yk duydum ki çok mutsuzsun . ismail yk facebook (çılgın),uygulama/müzik/video klip/isteğe bağlı içerik,pozitif,80,mutluluk
Spotifydeki ham özelliği ne zaman gelecek,performans/arşiv/arayüz/fiyat/içerik/reklam,beklenti,70,beklenti
ilk defa kullanmaya başladım çok iyi.Şunu anlayamadım internetim gitmeyecek yani internet kullanmayacağımı düşünüyorum.,performans/arayüz,pozitif,80,mutluluk
Tema değişimi yapılırsa daha güzel olur diye düşünüyorum,arayüz,pozitif,70,beklenti
"böyle saçma bir uygulama olmamalı şarkı içi 50 reklam kafasına göre benzer diye alternatif çalar, uzak durulmaşık",reklam,negatif,20,"öfke, hayal kırıklığı"
Güzel,genel,pozitif,80,mutluluk
sesli kitap dinlemek içinde ek ücret talep etmeniz epey saçma olmuş zaten abonelik var ?,fiyat,negatif,20,şaşkınlık
çok güzel. bir. uygulama. herke.se. öneriyorum. hiçbir. haksızlığı. yok. bide. şu. reklamları. olmasa. her. şeyi. çoook. iyi,arayüz/reklam,pozitif,90,mutluluk
güzel ve beğendim,performans,pozitif,80,mutluluk
iyi çok güzel bir uygulama,performans,pozitif,90,mutluluk
bayıldım,performans,pozitif,90,mutluluk
🫰🏻,nötr,nötr,50,nötr
on numara beş yıldız 👍🏻 Spotify'da vakit kaybetmişim dedim resmen😭 (Uygulama en azından Spotify gibi prminyum almaya zorlamıyorr🙄) Ama neden tanınmıyor bilmiyorum yeteri kadar ilgi görmüyor bence. Tek sorun ise şarkı bitmeden yanı bazen şarkı ortasında reklam veriyor ama reklamlar sorun edilmeyecek kadar kısa 5 sn fln sürüyor ben bayıldım uygulamaya 🌟🌟🌟🌟🌟,performans/arayüz/fiyat/içerik/reklam,pozitif,85,"mutluluk, hayal kırıklığı"
yapmış olduğunuz uygulama için teşekkür ederim,performans,pozitif,90,mutluluk
İnterneti aynı Spotify gibi hiç farkı yok yüklemeyin,performans/arayüz/fiyat/içerik,negatif,20,hayal kırıklığı
iyş,performans,pozitif,70,mutluluk
şimdi niye mi 1 yıldız kırdım il önce çokkk güzel bir uygulama ama internetsiz olsaydı 5 yıldız yapardım,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,20,hayal kırıklığı
INDIRMEYIN ONE CIKSJN DIYE 5 YILDIZ VERDIM AMA INTERNETSIZ SARKI DINLENMIYOR ISTEDIGIM SARKILARI DINLEYEMIYORUM PLAYLISTLERIM INTERNETSIZ ACILMIYOR SAKIN YÜKLEMEYIN HIÇ MEMNUN KALMADIM,uygulama,negatif,10,hayal kırıklığı
bence güzel bir uygulama İnternetsiz müzik dinleye biliyorsunuz internetiniz yoksa (örnek olarak arabadaysaniz) internetiniz olmaz. degilmi? işte oyuz den müzik dileyemezsiniz ama bu uygulama sayasinde İnternetsiz çevrimdışı müzik dinleye bilirsiniz tavsiye ederim😊,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,85,mutluluk
"koleksiyonum için sadece şarkıları mp3 olarak indiremiyorum. geniş bir müzik dünyası, dünya içinde dünya... Ara yüzden içerik koordinesine kadar -Emeği geçenlere teşekkür ederim.",arayüz/içerik,pozitif,85,teşekkür
süper,performans,pozitif,90,mutluluk
Dinlediğim müziğin ortasında birdenbire reklam giriyor. Aynı reklam tam olarak bitmeden yarım kalan müzik devam etmeye başlıyor.,reklam,negatif,70,"hayal kırıklığı, öfke"
daha az reklam olabilir,reklam,negatif,20,hayal kırıklığı
"Daha az reklam, daha uygun fiyat.",reklam/fiyat,pozitif,80,memnuniyet
harika,performans,pozitif,90,mutluluk
spotifydan bile daha iyi sanki ücretsiz Spotify premium gibi,performans,pozitif,80,mutluluk
Gerçekten harika.,performans,pozitif,90,mutluluk
super,performans,pozitif,90,mutluluk
"Uygulamayı severek kullanıyorum. Son zamanlarda podcast dinlemeye merak sarınca şöyle bir şey fark ettim: Bir podcast bölümünü yarım bırakıp ilerleyen zamanda aynı podcast'a geri döndüğünüzde bölüm, kaldığınız yerden değil baştan başlıyor. Her seferinde ""nerede kalmıştım"" diyerek ileri sarmak zorunda kalıyorsunuz. Bir de podcast bölümlerini uygulamanın otomatik işaretlemesinden ayrı, ""dinlendi"" ya da ""dinlenmedi"" olarak kendimiz de işaretleyebilmeliyiz.",performans/arayüz,negatif,30,hayal kırıklığı
herşey piremium,fiyat,pozitif,80,mutluluk
mükemmel bir uygulama ben bir sorun bulmadım herkeze tavsiye ederim.,performans,pozitif,90,mutluluk
çok kötü istediğim şarkıyı açmıyor başka bir şarkı açıyor hiç beğenmedim,performans,negatif,10,hayal kırıklığı
Premium olmazsa sevinirim hep 3 kağıtçılar var,fiyat,negatif,20,hayal kırıklığı
android auto da goz at menusu acilmiyor,arayüz,negatif,20,hayal kırıklığı
çok güzel uygulama,uygulama,pozitif,90,mutluluk
çokk iyi bir uygulama,performans,pozitif,90,mutluluk
Ban göre en süperi uygulama her kese tafsiye edelim,uygulama,pozitif,90,mutluluk
her şey primiyum onun haricinde her şey güzel,fiyat,pozitif,70,mutluluk
harika bir uygulama,performans,pozitif,90,mutluluk
Herşey güzel ama eksikler var. Remixli Şarkıların çoğu yok.,içerik,nötr,50,hayal kırıklığı
çok reklam giriyo,reklam,negatif,30,hayal kırıklığı
internetsiz olsa çok iyiydi,internet,negatif,20,hayal kırıklığı
yalan internetsiz birşekiode dinleyemiyorum sadece onun için yüklenmiştim,internet,negatif,20,hayal kırıklığı
bence güzel bir uygulama ben sevdim,uygulama,pozitif,80,mutluluk
güzelllll.......,performans,pozitif,90,mutluluk
gerçekten çok beğendim aynı spotify gibi bir uygulama,performans/arayüz/fiyat/içerik,pozitif,90,mutluluk
öncebden de severek kullanıyorum şimdi de öyle,arayüz,pozitif,80,mutluluk
Şarkılar ilk yüklediğiniz gibi duruyor. Liste ve repertuar konusunda bir milim yol almayan bir uygulama. Belli ölçüde internetten yemediği için kullanıyorum ama hç memnun değilim. Bazı zaman şarkı arasına bile reklam alan bir uygulama. Turkcell bu kadar mı aciz? o zaman bu yüksek faturaları neden alıyor? Kaç yıldır düzelmeyen bir sorun haline geldi artık. Düzelmesi gerekli.,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,20,"hayal kırıklığı, öfke"
Vallahi çok güzel internet siz dinliyorum.,internet,pozitif,80,mutluluk
super,performans,pozitif,90,mutluluk
Tavsiye ederim çok güzel,performans,pozitif,80,mutluluk
çok boş bir şey hiç beğenmedim çevrimdışı dinleme fln yok çevrimiçi de şarkılar açılmıyor kimseye önermiyorum rezalet,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,10,"hayal kırıklığı, öfke"
cok fazla reklam var insan dinlediginden anlamiyo bir de surekli olarak listemden olmayan sarkilar calmaya basliyor,reklam,negatif,60,"öfke, hayal kırıklığı"
sözleşme felan ne ya bence kötü,sözleşme,negatif,20,hayal kırıklığı
3 tane Turkcell hattım var faturalı böyle saçma uygulama için benden premium üyelik istiyorsunuz,fiyat,negatif,20,öfke
cok guzel ama cok guzel,performans,pozitif,90,mutluluk
Arasında piskopatca şarkılar var 1 yıldız bile haketmiyoyaa,içerik,negatif,10,"öfke, hayal kırıklığı"
sen nasıl bir fizy sin,arayüz,negatif,20,hayal kırıklığı
Uygulama mükemmel sade 1 tane reklam çıkıyor o kadar,reklam,pozitif,80,mutluluk
grup yoruma karşı olan ırkçılığa karşı gelerek spotifyda olan uyeliğimi iptal edip fizyi yükledim Fizy spotifydan gerçekten daha iyi kısıtlı müzik seçebiliyorsun müzik tekrarı yok müzik geçme hakkın sınırlı aklı olan fizy'i seçer doğru yolu bulduğumu düşünüyorum 🙃,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,85,mutluluk
güzel sürekli kullanıyorum,performans,pozitif,80,mutluluk
Güzel bir uygulama ama Semicenk&Rast-Canın Sağ Olsun parçası bile yok uygulamada. Çok saçma.güncelleme sorun duzeldi,içerik,negatif,20,hayal kırıklığı
hediye kodu aktivasyonu bölümünü bulmak neredeyse imkansıza döndü uzun çabalar sonucu buldum ama bu sefer de hata ekranını yansıtıyo. illa para verip premium oldurma derdindeler ve Spotify de olan çoğu şarkı burada yok kısacası her bakımdan 5 kuruş etmez.,arayüz/fiyat/içerik,negatif,10,"hayal kırıklığı, öfke"
arkaplanda çalıyor olması güzel,performans,pozitif,80,mutluluk
Çok güzel bir uygulama,arayüz,pozitif,90,mutluluk
Çok severek kullanıyorum. Bu uygulamayı kullanmadan önce Spotify kullanıyordum ama o boykot olunca Fizy'e geçtim. tabiki Spotify kadar kaliteli değil ama insanlar kullandıkça daha kaliteli olacak diye düşünüyorum✨,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
güzel,genel,pozitif,80,mutluluk
çok fazla reklam,reklam,negatif,20,hayal kırıklığı
güzel,genel,pozitif,80,mutluluk
premium kodu açılmıyor,performans,negatif,20,hayal kırıklığı
Güzel,genel,pozitif,80,mutluluk
Ruhum dinleniyor,ruh/duygu,pozitif,80,"mutluluk, huzur"
şarkılar dinlemek için premium üye olmak gerekiyor zaten Türkcell hattım ayrıca şarkı listeleri falan ekran çok karışık canlı radyo da olmasını isterdim,arayüz/fiyat/içerik,negatif,30,hayal kırıklığı
Güzel bir uygulama,arayüz,pozitif,80,mutluluk
Çalma listesinin türü ile ilgili şarkı önerileri bulmada çok yetersiz. 5 şarkı tavsiyesi çıkıyor yenile tuşuna basılınca sadece yerleri değişiyor yeni bir şarkı bile eklenmiyor. Diğer uygulamalarda olduğu gibi liste türüne göre şarkılar çıkarsa daha iyi olabilir.,performans,negatif,30,hayal kırıklığı
gerçekten çok mükemmel...,performans,pozitif,90,mutluluk
OYGULAMA HARİKA ARKADAŞLAR,performans/arayüz,pozitif,90,mutluluk
👍,performans,pozitif,90,mutluluk
uygulama güzel ancak bu uygulamayı akıllı saatler de kullanabilmek iyi olurdu,performans/arayüz/fiyat,pozitif,70,memnuniyet
Uygulama çok güzel ancak şarkılar biraz az şarkı miktarı artırılırsa çoook daha güzel olur onun dışında bulamadan çıkınca şarkıyı yine çalınması çok güzel bir şey bence geriye kalan her şey mükemmel dediğin gibi sadece şarkılar biraz daha arttırılırsa çok daha güzel olur,içerik,pozitif,85,mutluluk
uygulama güzel herkese öneriyorum ama Premium olmadan ücretsiz şarkı dinleyebilseydik iyiymiş,fiyat,pozitif,70,mutluluk
uygulama çok iyi fakat bazı eksikleri var. bu eksiklerden En Önemlisi! direk önerilen müzikler getirilmeli. müzik dinlemek için playlist açmak zorunda olmak kötü ve her zaman aynıları çıktığı için hep aynı müzikleri çeviriyor,performans/arayüz,negatif,30,hayal kırıklığı
çok güzel,genel,pozitif,90,mutluluk
aşırı iyi ama premyomm olması 1 yıldızınızı aldı bu yüzden bence premyomu seneye kadar kaldırın çünkü eyer kadırmazsanız 1 yıldız veririm sizin puanınızıda düşürmek için tüm tanıdıklarıma söylerim 1 yıldız versinler diye ve çevrem çok büyük kelebek etkisi yaparişte o zaman neyapıcaz diye düşünürsünüz Hahahaha şaka yaptım nasıl ama korktunuz dimi sınır nerde????????????????????????oldu!!!!,performans,negatif,10,korku
süperrrr,performans,pozitif,90,mutluluk
çok güzel bir uygulama emeği geçen herkese teşekkür etti,uygulama,pozitif,90,mutluluk
Harika😊,performans,pozitif,90,mutluluk
